id,lat,long,name
222,51.50275704,-0.155349725,Knightsbridge  Hyde Park
223,51.49148474,-0.090220911,Rodney Road   Walworth
224,51.51476963,-0.18812973100000002,Whiteley's  Bayswater
225,51.50935342,-0.196422,Notting Hill Gate Station  Notting Hill
226,51.50844614,-0.131961389,Charles II Street  West End
227,51.52891573,-0.115480888,Great Percy Street  Clerkenwell
228,51.50742485,-0.134621209,St. James's Square  St. James's
229,51.50654321,-0.12317969699999999,Whitehall Place  Strand
230,51.50669284,-0.10313742599999999,Poured Lines  Bankside
231,51.49396755,-0.17873226,Queen's Gate (Central)  South Kensington
232,51.51501025,-0.11275321699999999,Carey Street  Holborn
233,51.50777049,-0.130699733,Pall Mall East  West End
234,51.53450449,-0.10699270599999999,Liverpool Road (N1 Centre)  Angel
235,51.49571828,-0.11088927400000001,Kennington Road    Vauxhall
236,51.51838043,-0.073438925,Fashion Street  Whitechapel
237,51.5084448,-0.067176443,Vaughan Way  Wapping
238,51.5233534,-0.175116099,Frampton Street  Paddington
239,51.52443845,-0.138019439,Warren Street Station  Euston
240,51.50545935,-0.10569204,Colombo Street  Southwark
242,51.52200801,-0.151359288,Beaumont Street  Marylebone
243,51.49096258,-0.139625122,Gloucester Street  Pimlico
244,51.51611887,-0.128585022,Earnshaw Street   Covent Garden
245,51.4853572,-0.142207481,Grosvenor Road  Pimlico
246,51.52285301,-0.09999405199999999,Berry Street  Clerkenwell
247,51.53005200000001,-0.16831400000000002,St. John's Wood Church  Regent's Park
248,51.50645179,-0.170279555,Triangle Car Park  Hyde Park
249,51.49859784,-0.096191134,Harper Road  Borough
250,51.489932,-0.162727,Royal Avenue 1  Chelsea
251,51.518908,-0.079249,Brushfield Street  Liverpool Street
252,51.5046364,-0.11654227800000001,Jubilee Gardens  South Bank
253,51.53404294,-0.086379717,Shoreditch Park  Hoxton
254,51.53051587,-0.106408455,Chadwell Street  Angel
255,51.52557531,-0.179592915,Clifton Road  Maida Vale
256,51.51362054,-0.11676421099999999,Houghton Street  Strand
257,51.52248185,-0.154907218,Westminster University  Marylebone
258,51.50143293,-0.17865697100000005,Kensington Gore  Knightsbridge
259,51.50494561,-0.123247648,Embankment (Horse Guards)  Westminster
